,llm_result
10001,SELECT
10006,SELECT
10013,SELECT
10017,SELECT
10019,SELECT
10051,SELECT
10058,SELECT
10060,SELECT
10063,SELECT
10078,SELECT
10086,SELECT
1010,
10119,
1012,
10127,
1013,
10130,
10138,
10145,
10147,
10148,SELECT
1016,
10162,
10171,SELECT
1020,SELECT
10200,
10203,
10215,
10224,
10235,
10243,
10253,
10289,
10292,
1030,SELECT
1031,SELECT
10315,SELECT
10333,
10352,SELECT
10355,
10362,SELECT
10391,SELECT
10394,
10401,
10406,
1041,SELECT
1044,SELECT
10451,
10466,
10472,
10491,
10503,
10524,
1054,SELECT
10566,
10578,
10584,
10595,SELECT
10596,
10602,
10607,
10609,
10610,
1065,SELECT
10664,
10679,
10692,
10700,SELECT
1072,SELECT
10738,
10762,SELECT
10765,
10769,
10780,
10795,
10807,SELECT
10828,
10829,SELECT
10832,
10857,
1086,SELECT
10895,
1093,SELECT
10955,
10958,
10968,
1098,SELECT
10986,
11002,
11016,
11062,
11070,
1109,SELECT
11097,
11100,
11119,
11134,
11136,
11173,SELECT
11179,SELECT
11190,
11205,
11207,
11209,
11214,
11223,
11227,SELECT
1127,SELECT
11286,
11289,
11296,
11303,
11309,
11315,
11347,
11348,
1135,SELECT
11355,
11360,
11362,
11369,
1137,SELECT
11372,
11438,
11442,
11460,
11467,
11478,
11487,
115,
11542,
11543,
11548,
11559,
11563,
11578,
1159,SELECT
11593,
1160,SELECT
1162,SELECT
11620,
11621,
11635,SELECT
11644,
11649,
11651,
11654,
11675,
11686,
11691,
1172,SELECT
11723,SELECT
11724,SELECT
11726,SELECT
11728,
11758,SELECT
1177,SELECT
11770,
11778,
11801,
11833,SELECT
11848,
11870,
11874,
11878,
11882,
11886,
11889,
11898,
11901,
11904,
11918,
11921,SELECT
11923,
11934,
11936,
1194,
1195,SELECT
11957,SELECT
11973,SELECT
11999,SELECT
12014,
12015,SELECT
12018,SELECT
12032,
1204,SELECT
12040,
12046,SELECT
12055,
12067,SELECT
12069,SELECT
12070,SELECT
12074,SELECT
1210,
12120,SELECT
12127,SELECT
12130,SELECT
1215,
12164,SELECT
12172,SELECT
12175,SELECT
12185,SELECT
12201,SELECT
12203,SELECT
12218,
12281,
12282,
12295,SELECT
12297,
12306,
12331,
12334,
12336,
12345,
12373,
12403,
12431,
12446,
12449,SELECT
12506,
12514,SELECT
12540,SELECT
12545,
12554,
12555,SELECT
12560,SELECT
12571,
12579,
12602,SELECT
12606,
12631,
12634,
12653,SELECT
12679,SELECT
12686,SELECT
12689,
12713,
12714,
1272,
12730,
12739,
12748,
12755,
12774,
12781,
12806,
12809,
12811,
12826,
12837,
12838,
12842,
12847,
12874,
12879,
12882,
12899,
12911,
12937,
12950,Cong
12951,
12961,
12963,
12969,
12981,
12996,
13020,
13028,
1307,SELECT
1349,SELECT
136,
1361,SELECT
1378,
1379,
1409,
143,
1435,SELECT
1452,SELECT
1453,SELECT
1461,SELECT
1506,SELECT
1509,SELECT
151,
1517,SELECT
1519,SELECT
1524,SELECT
1542,SELECT
1553,
1577,
1581,
1604,
1606,
1619,
1626,
1627,
1628,
163,
1649,
1663,
1665,
1668,
1676,
1717,SELECT
1736,SELECT
1740,
1747,SELECT
175,
1750,SELECT
1773,SELECT
1794,
1802,SELECT
1817,SELECT
182,
1820,SELECT
1826,SELECT
183,
1831,SELECT
1833,SELECT
1835,SELECT
1840,SELECT
1862,SELECT
1873,SELECT
1878,SELECT
1880,SELECT
1886,
1890,SELECT
1914,SELECT
1941,
1987,SELECT
199,SELECT
1990,SELECT
2021,SELECT
2036,SELECT
2049,
2055,SELECT
2061,SELECT
2124,SELECT
2130,SELECT
2131,SELECT
2156,
2200,
2202,
221,
2223,
2254,
2262,
2270,
2286,
2320,
2350,
236,
2375,
2382,
2391,
2405,
2408,
2419,
2426,SELECT
243,SELECT
2438,SELECT
247,
2479,SELECT
2497,SELECT
2512,SELECT
2518,SELECT
2519,SELECT
2525,SELECT
2535,SELECT
2538,SELECT
2564,SELECT
2587,SELECT
2606,SELECT
2607,SELECT
2612,SELECT
2626,SELECT
2634,SELECT
266,
2661,SELECT
2686,SELECT
2694,SELECT
2727,SELECT
273,SELECT
2781,SELECT
2792,SELECT
281,
2824,
2826,
2829,
2834,
2836,
2853,
2909,SELECT
291,SELECT
2918,SELECT
2952,
2960,SELECT
3010,SELECT
3027,SELECT
3029,SELECT
3033,SELECT
3036,SELECT
3037,SELECT
3069,SELECT
3074,SELECT
3091,SELECT
3113,
313,SELECT
3136,
3152,
3156,
3160,
3164,
3167,
3169,
3170,
3202,
324,SELECT
3253,
3258,
3261,
3276,
3277,
3296,
3298,
330,SELECT
3315,
3334,
3336,
3340,
3344,
3346,
337,SELECT
3376,
3386,SELECT
3404,SELECT
3421,SELECT
3444,SELECT
3445,
3491,SELECT
3526,SELECT
3549,SELECT
3557,SELECT
3560,SELECT
3563,SELECT
357,SELECT
3601,SELECT
3602,SELECT
3629,SELECT
3645,SELECT
3647,SELECT
3657,
3679,
3695,
3710,
3717,
3732,
3749,
3767,
3771,
38,
380,
3811,SELECT
3815,SELECT
382,
3853,SELECT
3856,SELECT
3857,SELECT
3859,SELECT
3861,SELECT
3865,SELECT
387,
3913,SELECT
3916,SELECT
3917,SELECT
3918,SELECT
3924,SELECT
3931,SELECT
3941,
3959,SELECT
3968,SELECT
3993,SELECT
4014,SELECT
4050,
4055,SELECT
4065,SELECT
4087,SELECT
4088,SELECT
41,
4112,SELECT
4116,SELECT
4120,SELECT
4127,SELECT
4153,SELECT
4158,SELECT
4169,SELECT
4179,SELECT
4200,SELECT
4201,SELECT
4248,
425,
4260,
4280,SELECT
4320,
4333,SELECT
4342,
4345,
4367,
4385,
4397,SELECT
4406,
4418,
4419,
4423,
4424,
4436,
4445,
4472,
4473,
4478,SELECT
448,
4491,SELECT
4500,
4529,SELECT
4539,SELECT
4545,SELECT
4546,SELECT
456,
4577,SELECT
4590,SELECT
4596,
4617,SELECT
4637,SELECT
4653,SELECT
4655,SELECT
4656,SELECT
466,
4686,SELECT
4689,SELECT
47,
4706,SELECT
4715,SELECT
4725,SELECT
4733,SELECT
4762,
4764,
4789,
4790,
4808,
4828,
4855,
4862,SELECT
4866,
49,
4902,
4912,
4917,SELECT
4946,
4967,SELECT
4972,
4974,
498,
4983,SELECT
4995,
4997,SELECT
5007,SELECT
5010,SELECT
5012,SELECT
5017,SELECT
5018,SELECT
5023,
5036,SELECT
5052,SELECT
5056,SELECT
5072,
5084,SELECT
5086,SELECT
5092,
5093,SELECT
5114,SELECT
5139,SELECT
5144,SELECT
5150,SELECT
5165,SELECT
5169,SELECT
517,
5177,SELECT
5197,SELECT
520,
5202,SELECT
5219,
5227,
523,
5231,
5281,
5288,SELECT
5323,
533,
5344,
5346,SELECT
535,
5355,
536,
5360,
5371,
538,
5381,SELECT
542,SELECT
5439,SELECT
5450,SELECT
5464,SELECT
5467,SELECT
5473,SELECT
5482,SELECT
5509,SELECT
5512,SELECT
552,
5524,
5534,SELECT
5538,
5543,SELECT
5599,SELECT
5610,SELECT
5630,SELECT
564,
5654,SELECT
5667,SELECT
5675,SELECT
569,
5718,SELECT
5757,
5764,
5767,Yes
5771,
5790,
5793,
5798,
58,
5806,Yes
5808,Yes
5827,Yes
5842,Yes
5846,
5880,
5885,
5908,
5912,
5944,
5959,
5966,
5987,SELECT
5989,SELECT
6005,SELECT
6008,SELECT
6013,SELECT
6024,
6031,SELECT
6040,SELECT
6053,SELECT
6060,SELECT
6065,SELECT
6067,SELECT
6072,SELECT
6076,SELECT
6086,SELECT
6092,SELECT
6117,
6141,
6203,
6221,
6249,SELECT
6274,SELECT
6278,SELECT
628,SELECT
6294,SELECT
630,SELECT
6321,SELECT
6326,SELECT
6328,SELECT
6329,SELECT
6342,
6348,SELECT
6398,SELECT
6401,SELECT
6406,
6408,SELECT
6412,SELECT
6414,SELECT
6452,SELECT
6455,SELECT
6495,
6505,
6556,
6568,
6573,
6586,
6595,
660,SELECT
6601,
663,SELECT
6647,
6658,
6680,
6691,
6735,
6741,
6742,
6754,
6773,
6798,
6804,
6811,
6812,
6821,
6822,
6840,
6842,
6856,
6860,
6921,
6922,
6990,SELECT
7010,SELECT
7018,SELECT
702,SELECT
7026,SELECT
7029,SELECT
7037,SELECT
7046,SELECT
7049,SELECT
7058,SELECT
7064,SELECT
7068,SELECT
709,SELECT
7095,
711,SELECT
7113,
7123,
7128,
7135,SELECT
714,SELECT
716,SELECT
7172,
7184,
7197,
7203,
7214,
7217,
7237,
7248,
7251,
7256,
726,SELECT
7266,
7269,
7279,
7313,
7321,
7332,
7377,
738,
7382,
7393,
7404,
7425,
7441,SELECT
7456,
7471,
7474,
7480,
7487,
749,
7499,
75,
7503,
7507,
7523,
7529,
7533,
7542,
7543,
7549,
755,
7556,
7564,
7572,
7599,SELECT
760,
7607,SELECT
7621,SELECT
7633,SELECT
7640,SELECT
7666,
7684,SELECT
7699,SELECT
771,
7718,
7726,SELECT
773,
7767,
7768,
7771,
7773,
7780,
7782,
7791,
7796,
7815,
7833,
7835,
7846,
7879,
7902,
7918,
7921,
7922,
7930,
7937,
7950,
7961,
7967,
7984,
7996,SELECT
8014,SELECT
8032,SELECT
8048,SELECT
8051,SELECT
8057,
8066,
8077,SELECT
8091,SELECT
8099,
8104,
812,
8143,
8153,
8154,
8226,SELECT
8228,SELECT
8242,SELECT
8261,SELECT
8262,SELECT
