,llm_result
10001,###[script:lang-javascript][script:src-external:https://api.elastic.co/products/v7/es-url-builder.html?pretty=true][script:language-json][script
10006,"###[script:lang-js,var num=0;_._.each(data.clinicalNotes,function(value,key){num+=1;});return num]"
10013,###[script:lang-javascript][query:*:*]
10017,"###[script:lang-javascript][script:src-code=""require('eslint').verify(document, { rules: { semi: [2, ""never""] } });""][/script]
###[script"
10019,###[script:lang-javascript][script:src-external:https://api.elastic.co/products/v7/es-url-builder.html?pretty=true][script:language:json][script
10051,"###[script:lang-javascript][script:src-code=""require('eslint').verify(document, { rules: { semi: [2, ""never""] } });""][/script]
###[script"
10058,"{
  ""response"": {
    ""docs"": [
      {
        ""RECVDATE"": ""2022-01-16T09:45:37Z"",
        ""STATE"":"
10060,###[script:lang-javascript][script:src-external:https://api.elastic.co/products/v7/es-url-builder.html?pretty=true][script:language:json][script
10063,###[script:lang-javascript][script:src-external:https://api.elastic.co/products/v7/es-url-builder.html?pretty=true][script:language-json][script
10078,###[script:lang-javascript][script:src-external:https://api.elastic.co/products/v7/es-url-builder.html?pretty=true][script:language-json][script
10086,"{
  ""response"": {
    ""docs"": [
      {
        ""RECVDATE"": ""2021-01-30T06:54:59Z"",
        ""STATE"":"
1010,"Query : 
{ ""filter"" : { ""and"" : [ { ""term"" : {""VAERS_ID"": ""20131254""} }, { ""range"" : {""RECVDATE"": { """
10119,"{
  ""took"":167,""docs"":[
    {
      ""found"":true,""matched"":true,""id"":""2014-08-25T19:44:59"
1012,"Query : 
{ ""filter"" : { ""and"" : [ { ""term"" : {""VAERS_ID"":1498756} }, { ""range"" : {""RECVDATE"": { ""gte"
10127,"{
  ""took"":167,""docs"":[
    {
      ""id"":""patient/12345"",
      ""type"":""Patient"",
      ""properties"":{
        ""FLU"
1013,"###denominator: 103.0 years old vaccine recipients 
###numerator: 26 deaths among 103.0 years old vaccine recipients"
10130,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : { ""VAERS_ID"" : ""FLUA4"" }
        }"
10138,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : {
            ""VAERS_ID"" : ""2015-234"
10145,"###[{'$gte': {'$date': '2016-04-01T00:00:00Z'}, '$lt': {'$date': '2016-05"
10147,"###[{""RECVDATE"":""2016-08-09T04:37:59Z"",""STATE"":""NC"",""AGE_YRS"":""16"",""VAERS_ID"":""160"
10148,"###[{'VAERS_ID':12345,'RECVDATE':'2018-01-01T00:00:00Z','STATE':'confirmed','AGE_Y"
1016,"###denominator: 72.0 years old vaccine recipients 
###numerator: number of deaths among 72.0 years old vaccine recipients 
###answer:"
10162,"###[{'$gte': {'$date': '2021-04-01T00:00:00Z'}, '$lt': {'$date': '2021-05"
10171,"###[{'$gte': {'$date': '2019-01-01T00:00:00Z'}, '$or': [{'$and': [{'$eq': 'R"
1020,"###denominator: 137452
###numerator: 1
###result: true

###answer: yes"
10200,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : {
            ""VAERS_ID"" : ""12345678"
10203,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : {
            ""VAERS_ID"" : ""12345678"
10215,"{
  ""query"": {
    ""bool"": {
      ""must"": [
        {
          ""term"": {
            ""VAERS_ID"": ""2009CA0347A"""
10224,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : {
            ""VAERS_ID"" : ""12345678"
10235,"{
  ""query"": {
    ""bool"": {
      ""must"": [
        {
          ""term"": {
            ""VAERS_ID"": ""1234567890"""
10243,"{
  ""query"" : {
    ""bool"" : {
      ""must"" : [
        {
          ""term"" : {
            ""VAERS_ID"" : ""2010-163"
10253,"{
  ""answer"": {
    ""question"": ""How many vaccine recipients got MNQ?"",
    ""answer"": ""103""
  },
  ""answer"": {
    ""question"":"
10289,"{
""responses"":[
{
""answer"":""10"",
""confidence"":0.8792654462478136},
{
""answer"":""11"","
10292,"{
  ""tox"": {
    ""value"": ""20""
  },
  ""popular"": {
    ""value"": ""19""
  }
}"
1030,"###denominator: 148975
###numerator: 26
###result: false"
1031,"###denominator: 137495
###numerator: 2
###result: false"
10315,"{
""typed"": ""text"",
""fields"": {
	""RECVDATE"": ""2015-04-06T17:39:58.000+05:3"
