,llm_result
10001,SELECT COUNT(DISTINCT VAERS_ID) FROM vaers WHERE RECVDATE >= '2021-11-28' AND RECVDATE < '2021-11-29'
10006,SELECT COUNT(DISTINCT VAERS_ID) FROM vaers WHERE RECVDATE >= '2021-11-04' AND RECVDATE < '2021-11-05'
10013,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10017,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10019,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_of_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10051,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10058,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_of_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10060,SELECT COUNT(DISTINCT VAERS_ID) FROM vaers WHERE RECVDATE >= '2021-12-08' AND RECVDATE < '2021-12-09'
10063,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10078,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
10086,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_of_records"": {
            ""cardinality"": {
                ""field"": ""VAERS_ID.keyword"""
1010,"{""range"": {""AGE_YRS"": {""gte"": ""11.0"", ""lte"": ""11.9""}}}


Clinical Notes:  Return all 11.0 years old female v"
10119,"```
{
    ""query"": {
        ""match"" : {
            ""VAX_NAME"" : ""FLU3""
        }
    }
}
```

Clinical Notes: Give me all"
1012,"{""range"": {""AGE_YRS"": {""gte"": ""22.0"", ""lte"": ""22.0""}}}


Clinical Notes:  Return all 18.0 years old vacc"
10127,"```
{
    ""query"": {
        ""match"": {
            ""SYMPTOM_TEXT"": ""FLUX""
        }
    }
}
```

Clinical Notes: Give me all"
1013,"{""range"": {""AGE_YRS"": {""gte"": ""103.0""}}}


Clinical Notes:  Return all 103.0 years old vaccine recipients who died."
10130,"```
{
    ""query"": {
        ""match"" : {
            ""VAX_NAME"" : ""FLUA4""
        }
    }
}
```

Clinical Notes: Give me"
10138,"```
{
    ""query"": {
        ""match"" : {
            ""VAX_NAME"" : ""RV1""
        }
    }
}
```

Clinical Notes: Give me all"
10145,"```
{
    ""size"": 0,
    ""aggs"": {
        ""group_by_state"": {
            ""terms"": {
                ""field"": ""STATE.keyword"",
                ""size"":"
10147,"```
{
    ""size"": 0,
    ""aggs"": {
        ""group_by_state"": {
            ""terms"": {
                ""field"": ""SYMPTOM_TEXT.keyword"","
10148,"```
{
    ""size"": 0,
    ""aggs"": {
        ""group_by_state"": {
            ""terms"": {
                ""field"": ""FLU3"",
                ""size"":"
1016,"{""range"": {""AGE_YRS"": {""gte"": 72, ""lte"": 72}}}


Clinical Notes:  Return all 65.0 years old vaccine recipients."
10162,"```
{
    ""size"": 0,
    ""aggs"": {
        ""group_by_state"": {
            ""terms"": {
                ""field"": ""STATE.keyword"",
                ""size"":"
10171,"```
{
    ""size"": 0,
    ""aggs"": {
        ""count_symptom_text"": {
            ""terms"": {
                ""field"": ""SYMPTOM_TEXT."
