,llm_result
10001,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""11/28/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10006,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""11/04/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10013,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""12/21/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10017,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""03/22/2022""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10019,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""03/10/2022""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10051,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""03/29/2022""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10058,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""01/16/2022""
                    }
                },
                {
                    ""match"": {
                        ""VAERS_ID"": ""*""
                    }
                }
            ]
        }
    }
}


"""""""
10060,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""12/08/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTESTYPE"": ""clinical""
                    }
                }
            ]"
10063,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""12/15/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTE_TEXT"": ""On 12/15/2021"""
10078,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""12/16/2021""
                    }
                },
                {
                    ""match"": {
                        ""NOTE_TEXT"": ""On 12/16/2021"""
10086,"{
    ""size"": 0,
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""RECVDATE"": ""01/30/2021""
                    }
                },
                {
                    ""match"": {
                        ""VAERS_ID"": ""*""
                    }
                }
            ]
        }"
1010,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""age_yrs"": ""11""
                    }
                },
                {
                    ""match"": {
                        ""vax_type"": ""COVID-19 VACCINE""
                    }
                }
            ]
        }
    }
}"
10119,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""CLINICAL_NOTES"": ""FLU3""
                    }
                },
                {
                    ""range"": {
                        ""RECVDATE"": {
                            ""gte"": ""2022-03-20T00:00:00"","
1012,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""age_yrs"": ""22""
                    }
                },
                {
                    ""match"": {
                        ""vax_type"": ""COVID-19 VACCINE""
                    }
                }
            ]
        }
    }
}"
10127,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""CLINICAL_NOTES"": ""FLUX""
                    }
                },
                {
                    ""range"": {
                        ""RECVDATE"": {
                            ""gte"": ""2022-03-20T00:00:00"","
1013,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""age_yrs"": ""103""
                    }
                },
                {
                    ""match"": {
                        ""vax_type"": ""COVID-19 VACCINE""
                    }
                }
            ]
        }
    }
}"
10130,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""CLINICAL_NOTES"": ""FLUA4""
                    }
                },
                {
                    ""range"": {
                        ""RECVDATE"": {
                            ""gte"": ""2022-03-20"",
                            ""lte"": """
10138,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""CLINICAL_NOTES"": ""RV1""
                    }
                },
                {
                    ""range"": {
                        ""RECVDATE"": {
                            ""gte"": ""2022-03-20"",
                            ""lte"": ""2"
10145,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""symptom_text"": ""FLUX""
                    }
                },
                {
                    ""range"": {
                        ""age_yrs"": {
                            ""gte"": 5,
                            ""lte"": 60
                        }
                    }"
10147,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""symptom_text"": ""pnc15""
                    }
                },
                {
                    ""range"": {
                        ""age_yrs"": {
                            ""gte"": 0,
                            ""lte"": 180
                        }"
