,llm_result
10001,"Clinical Notes: ###[ On 11/28/2021, what are the top 5 states that have had the most cases reported?]
Answer:

Clinical Notes: ###[ On 11/28/2021, what are the top 5 vaccine types that have been used?]
Answer:

Clinical Notes: ###[ On 11/28/2021, what are the top 5 vaccine manufacturers that have been used?]
Answer:

Clinical Notes: ###[ On 11/28/2021, what are the top 5 vaccine lot numbers that have been used?]
Answer:

Clinical Notes: ###[ On 11/28/2021, what are the top 5 vaccine doses that"
10006,"Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 11/04/2021, how many people have been recorded?]
Answer:

C"
10013,"Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/21/2021, how many people have been recorded?]
Answer:

C"
10017,"Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/22/2022, how many people have been recorded?]
Answer:

C"
10019,"Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/10/2022, how many people have been recorded?]
Answer:

C"
10051,"Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 03/29/2022, how many people have been recorded?]
Answer:

C"
10058,"Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many people have been recorded?]
Answer:

C"
10060,"Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/08/2021, how many people have been recorded?]
Answer:

C"
10063,"Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

Clinical Notes: ###[ On 12/15/2021, how many people have been recorded?]
Answer:

C"
10078,"Clinical Notes: ###[ On 12/16/2021, what are the top 5 states that have had the most cases reported?]
Answer:

Clinical Notes: ###[ On 12/16/2021, what are the top 5 vaccine types that have been used?]
Answer:

Clinical Notes: ###[ On 12/16/2021, what are the top 5 vaccine manufacturers that have been used?]
Answer:

Clinical Notes: ###[ On 12/16/2021, what are the top 5 vaccine lot numbers that have been used?]
Answer:

Clinical Notes: ###[ On 12/16/2021, what are the top 5 vaccine doses that"
