,Unnamed: 0,Questions,id,query
3276,3276, Give me all the patients who got vaccines on 08/10/2012. ,20103276,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.VAX_DATE',""value_1"":'08/10/2012'"
1409,1409,Give me all the patients whose report was completed on 03/26/2022. ,7101409,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RPT_DATE',""value_1"":'03/26/2022'"
7172,7172, Which is the most common cataracts for patients.,28307172,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.HISTORY',""params"":'cataracts'"
9319,9319, What is the number of records that the vaccine recipient got USPFIZER INC202200713889 vaccine. ,33109319,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'USPFIZER"
11467,11467,Give me all the patients who got INFLUENZA (SEASONAL) (FLUBLOK) vaccine. ,43311467,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'VAX.VAX_NAME',""params"":'INFLUENZA"
1987,1987, Provide all the patients who have Varicella virus test negative. ,8401987,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Varicella"
4088,4088, What is the number of cases where onset date of adverse event symptom is 06/02/2021. ,21104088,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'06/02/2021'"
8454,8454, How many patients have a record of taking HPV vaccine.  ,31208454,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.PRIOR_VAX',""value_1"":'HPV'"
12811,12811, Is there any person have Stenotrophomonas infection after vaccine? ,45312811,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Stenotrophomonas"
11778,11778,Give me all the patients who got INFLUENZA (SEASONAL) (NO BRAND NAME) vaccine and RABIES (NO BRAND NAME) vaccine. ,44411778,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'VAX.VAX_NAME',""AUTO"",'INFLUENZA"
10127,10127,Give me all the patients who got FLUX. ,36210127,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'VAX.VAX_TYPE',""value_1"":'FLUX'"
8822,8822, How many records had MENINGOCOCCAL CONJUGATE and DT ADSORBED before.,32408822,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'MENINGOCOCCAL"
12373,12373,Give me all the patients who have Urinary casts absent after vaccine . ,45312373,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Urinary"
6412,6412, What is the number of vaccine recipients that had ambulance when they took the shot? ,27306412,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.CUR_ILL',""params"":'ambulance'"
2270,2270, which  Vascular test is the most common symptom after  vaccination,8402270,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Vascular"
4655,4655, How many patients whose interval from the vaccination date to the onset date is 113.0 days?,22204655,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":113.0"
5509,5509, Find the number of cases where the vaccine recipients had humuline nph at the time of vaccination. ,26305509,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.OTHER_MEDS',""params"":'humuline"
3710,3710,Give me all the patients whose onset date of adverse event symptoms is 06/13/2021. ,21103710,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'06/13/2021'"
1272,1272,Give me all the patients whose cage year is 84.0. ,4201272,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.CAGE_YR',""value_1"":84.0"
8353,8353,Give me all the patients who had ROTAVIRUS vaccine before. ,31208353,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.PRIOR_VAX',""value_1"":'ROTAVIRUS'"
8657,8657, List all the recipients who took HEP B and MENINGOCOCCAL CONJUGATE before. ,32408657,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'HEP"
5450,5450, List all the vaccine recipients who took cholecaliferol (vitamin d3) at the time of the vaccination. ,26305450,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.OTHER_MEDS',""params"":'cholecaliferol"
8585,8585,"Give me all the patients who got DTAP and POLIO VIRUS, INACT. before. ",32408585,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'DTAP'},"
8477,8477,Give me all the patients who got EBOLA ZAIRE and JAPANESE ENCEPHALITIS before. ,32408477,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'EBOLA"
7279,7279,Give me all the patients who was allergic to trees- maple ,29307279,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.ALLERGIES',""params"":'trees-"
5323,5323,GIve me all the patients who was taking ezetimibe. ,26305323,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.OTHER_MEDS',""params"":'ezetimibe'"
9807,9807, How many people recorded on 12/22/2021. ,35109807,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.TODAYS_DATE',""value_1"":'12/22/2021'"
7266,7266,Give me all the patients who was allergic to aids ,29307266,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.ALLERGIES',""params"":'aids'"
3959,3959, Find all the records where the adverse event started on 08/15/2019. ,21103959,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'08/15/2019'"
8848,8848, How many records had MENINGOCOCCAL CONJUGATE and TD ADSORBED before.,32408848,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'MENINGOCOCCAL"
3861,3861, Give me all the patients whose adverse event symptoms start from 02/15/2022. ,21103861,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'02/15/2022'"
8730,8730, List all the recipients who took MEASLES and TETANUS TOXOID before. ,32408730,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'DATA.PRIOR_VAX',""AUTO"",'MEASLES'},"
9632,9632, How many patients got vaccine manufactured by USPFIZER INC202200372189?,33109632,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'USPFIZER"
12713,12713, List all records that had Acute motor axonal neuropathy associated with the vaccination. ,45312713,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Acute"
5654,5654, How many patients was taking vitamin d 4000 iu? ,26305654,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.OTHER_MEDS',""params"":'vitamin"
2262,2262, which  Model for end stage liver disease score is the most common symptom after  vaccination,8402262,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Model"
