,llm_result
10001,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10006,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10013,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10017,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10019,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10051,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10058,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10060,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10063,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10078,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
10086,"### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
### [ ]
###"
1010,"```
{
  ""query"": {
    ""bool"": {
      ""must"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2020-01-01""
            }
          }
        }
      ]
    }
  }
}
```
### Clinical Notes: ###[ Return all 11.0 years old vaccine recipients. ]
Answer:
```
{
  ""query"": {
    ""bool"": {
      ""must"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2020-01-01""
            }
          }
        }
      ]
    }
  }
}
```
### Clinical Notes: ###[ Return all 11.0 years old vaccine recipients. ]
Answer:
```
{
  ""query"": {
    ""bool"": {"
