,llm_result
10001,### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [
10006,"# [ { ""query"": { ""match"": { ""recvdate"": ""11/04/2021"" } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": ""11/04/2021"" } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": ""11/04/2021"" } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": ""11/04/2021"" } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": ""11/04/2021"" } }"
10013,### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [
10017,"### [ 1 ]###
### [ 2 ]###
### [ 3 ]###
### [ 4 ]###
### [ 5 ]###
### [ 6 ]###
### [ 7 ]###
### [ 8 ]###
### [ 9 ]###
### [ 10 ]###
### [ 11 ]###
### [ 12 ]###
### [ 13 ]###
### [ 14 ]###
### [ 15 ]###
### [ 16 ]###
### [ 17 ]###
### [ 18 ]###
### [ 19 ]###
### [ 20 ]###
### [ 21 ]###
### [ 22 ]###
###"
10019,# | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |
10051,"# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""03/29/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""03/29/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""03/29/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"":"
10058,"# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""01/16/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""01/16/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"": ""01/16/2022"", ""operator"": ""and"" } } } } ]
# [ { ""query"": { ""match"": { ""recvdate"": { ""query"":"
10060,### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [
10063,### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [
10078,### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [ ### [
10086,"# { ""query"": { ""bool"": { ""must"": [ { ""match"": { ""recvdate"": ""01/30/2021"" } }, { ""match"": { ""state"": ""active"" } }, { ""match"": { ""age_yrs"": ""18-49"" } }, { ""match"": { ""sex"": ""male"" } }, { ""match"": { ""syptom_text"": ""fever"" } }, { ""match"": { ""died"": ""no"" } }, { ""match"": { ""er_visit"": ""no"" } }, { ""match"": { ""l_threat"": ""no"" }"
1010,"# { ""query"": { ""bool"": { ""must"": [ { ""range"": { ""RECVDATE"": { ""gte"": ""2020-01-01"" } } }, { ""range"": { ""AGE_YRS"": { ""gte"": 11 } } }, { ""range"": { ""VAERS_ID"": { ""gte"": ""100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
10119,"{ ""query"": { ""match"": { ""recvdate"": { ""query"": ""2020-01-01"", ""operator"": ""and"" }, ""state"": { ""query"": ""FLU3"", ""operator"": ""and"" }, ""age_yrs"": { ""query"": ""18-49"", ""operator"": ""and"" }, ""sex"": { ""query"": ""male"", ""operator"": ""and"" }, ""syptom_text"": { ""query"": ""fever"", ""operator"": ""and"" }, ""died"": { ""query"": ""no"", ""operator"": ""and"" }, ""er_visit"": { ""query"": ""no"", ""operator"": ""and"""
1012,"{ ""query"": { ""bool"": { ""must"": [ { ""range"": { ""RECVDATE"": { ""gte"": ""1989-01-01"" } } }, { ""range"": { ""AGE_YRS"": { ""gte"": ""22"" } } } ] } } }
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU,"
10127,"# { ""query"": { ""match"": { ""recvdate"": { ""query"": ""2020-01-01"", ""operator"": ""and"" }, ""state"": { ""query"": ""FLUX"", ""operator"": ""and"" }, ""age_yrs"": { ""query"": ""18"", ""operator"": ""and"" }, ""sex"": { ""query"": ""M"", ""operator"": ""and"" }, ""syptom_text"": { ""query"": ""fever"", ""operator"": ""and"" }, ""died"": { ""query"": ""no"", ""operator"": ""and"" }, ""er_visit"": { ""query"": ""no"", ""operator"": ""and"""
1013,"# [ { ""recvdate"": ""2020-01-01"", ""state"": ""New York"", ""age_yrs"": 103, ""sex"": ""Male"", ""syptom_text"": ""Cough"", ""died"": ""No"", ""er_visit"": ""No"", ""l_threat"": ""No"", ""hospital"": ""No"", ""hospital_days"": ""0"", ""disable"": ""No"", ""va_date"": ""2020-01-01"", ""lab_data"": ""No"", ""other_meds"": ""No"", ""c_cur"": ""No"", ""h_history"": ""No"", ""p_today"": ""No"", ""ofc_visit"": ""No"", ""va_type"": """
