,llm_result
10001,"139486
###[ On 12/5/2021, how many people have been recorded?]
Answer:
139704
###[ On 12/12/2021, how many people have been recorded?]
Answer:
139728
###[ On 12/19/2021, how many people have been recorded?]
Answer:
139743
###[ On 12/26/2021, how many people have been recorded?]
Answer:
139757
###[ On 1/2/2022, how many people have been recorded?]
Answer:
139771
###[ On 1/9/2022, how many people have been recorded?"
10006,"```python
from nltk.tokenize import sent_tokenize
from nltk.corpus import wordnet as wn
import pandas as pd
from pprint import pprint

# Read the input from a file
file_path = ""./input/clinical_notes.txt""
text = open(file_path).read()

# Split the text into sentences
sentences = sent_tokenize(text)

# Create a dictionary to store the frequency of each term
frequency_dict = {}

for sentence in sentences:
    words = sentence.split()
    # Store the terms that appear more than once
    if len(words)>=2:
        for word in words:
            if word not in frequency_dict:
                frequency_dict[word] = 0
            frequency_dict[word] += 1

# Find the top 5"
10013,"The total number of records are : 537968

###[ On 12/21/2021, what percentage of vaccinated patients had at least one clinical note?](https://www.medrxiv.org/content/10.1101/2021/12/08/21267946v1)
Answer:
Percentage of vaccinated patients that had atleast one clinical note: 99.4%

###[ On 12/21/2021, what percentage of unvaccinated patients had at least one clinical note?](https://www.medrxiv.org/content/10.1101/2021/12/08/21267946v1)
Answer:
Percent"
10017,"On 03/22/2022, there are 1426 records that match the search criteria.
```

<br/>

<h3 align=""center"">How to Run</h3>
<p align=""left"">
- Clone this repository
- Change directory to project folder
- Set up Python environment by running ```pip install -r requirements.txt```
- Use <a href = ""https://github.com/anirudhsri/ElasticSearch-NLP-Query-Builder/blob/main/Sample%20Data.xlsx"">Sample Data</a> as input file
- Run command ```python nlp_query_builder.py Sample Data.xlsx```
- Output will be saved in output.txt file

<br/>

<h3 align=""center"">Author</h3>
<p align=""left"">
Anir"
10019,"##### On 03/10/2022, how many people have been recorded? The answer is [ ]

##### How many cases are recorded in the database on 03/10/2022? The answer is [ ]

##### How many cases are recorded in the database on 03/10/2022? The answer is [ ]

###[ How many cases are recorded in the database on 03/10/2022?]
Answer:

##### How many cases are recorded in the database on 03/10/2022? The answer is [ ]

##### How many cases are recorded in the database on 03/10/2022? The answer is [ ]

##### How many cases are recorded in the database on 03/10/20"
10051,"Number of People in the data set: [ ]

### How many records are there where a patient was hospitalized?
Answer:
Number of Hospitalizations in the data set: [ ]

### How many records are there where a patient died within 14 days after vaccination?
Answer:
Number of Deaths in the data set: [ ]

### How many records are there where a patient died within 7 days after vaccination?
Answer:
Number of Deaths in the data set: [ ]

### How many records are there where a patient has had an allergic reaction to something?
Answer:
Number of Allergy Reactions in the data set: [ ]

### How many records are there where a patient died within 7 days after vaccination?
Answer:
Number of Deaths in the data set: [ ]

### How many records"
10058,"Clinical Notes: ###[ How many patients were recorded as ""Died""?]
Answer:

Clinical Notes: ###[ How many patients were recorded as ""VAERS ID""?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many male patients were recorded?]
Answer:

Clinical Notes: ###[ On 01/16/2022, how many female patients were recorded?]
Answer:

Clinical Notes: ###[ How many patients are recorded as having a COVID-19 vaccine reaction in the past seven days?]
Answer:

Clinical Notes: ###[ How many patients are recorded as having a COVID-19 vaccine reaction in the past three weeks?]
Answer:

Clinical Notes: ###[ How many patients are recorded as having a"
10060,"####

Clinical Notes: ###[ How many people have died from 2015 to 2021?]
Answer:
####

Clinical Notes: ###[ How many people have been hospitalized since 2021?]
Answer:
####

Clinical Notes: ###[ How many people have received the COVID-19 vaccine?]
Answer:
####

Clinical Notes: ###[ How many people have been admitted to the hospital due to COVID-19 vaccination?]
Answer:
####

Clinical Notes: ###[ How many people have been hospitalized since 2015?]
Answer:
####

Clinical Notes: ###[ How many people have been admitted to the hospital since 2021?]
Answer:
####

Clinical Notes: ###[ What is the most common"
10063,"On 12/15/2021, how many people have been recorded?

Clinical Notes: ###[How many records are missing values for the symptom text field?]
Answer:
How many records are missing values for the symptom text field?

Clinical Notes: ###[ How many records are missing values for the symptom text field?]
Answer:
How many records are missing values for the symptom text field?

Clinical Notes: ###[What is the percentage of patients who died in the vaccinated group (VAERS_ID > 0)?]
Answer:
What is the percentage of patients who died in the vaccinated group (VAERS_ID > 0)?
```"
10078,"###[ On 12/16/2021, how many people have been recorded?]
### Prompt: ### How many people have been recorded in the Vaccine Adverse Event Reporting System (VAERS) on December 16, 2021?

Answer:
How many people have been recorded in the Vaccine Adverse Event Reporting System (VAERS) on December 16, 2021?
Answer: 15947"
10086,"###[ How many people were vaccinated in the last seven days?]
Answer:

###[ Of the people who received a COVID-19 vaccine, what percentage of them have died?]
Answer:

###[ On January 30th, 2021, how many people were admitted to the hospital?]
Answer:

###[ On January 30th, 2021, how many people were discharged from the hospital?]
Answer:

###[ On January 30th, 2021, how many people were currently in the hospital?]
Answer:

###[ On January 30th, 2021, how many people were in ICU?]
Answer:

###[ On January 30th, 2021, how many people had an"
1010,"```elasticsearch
{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""range"": {
                        ""AGE_YRS"": {
                            ""gte"": 11.0
                        }
                    }
                },
                {
                    ""term"": {
                        ""VAERS_ID"": ""2021947531""
                    }
                }
            ],
            ""should"": [],
            ""filter"": []
        }
    }
}
```

<br>

#### 2.4 - Create a ElasticSearch Query that returns documents where the age of the patient in days is less than or equal to 365 days (i.e., one year) and the patient had an adverse reaction to any vaccine.

**Expected Output**:"
10119,"[{""state"": ""FL"", ""age_yrs"": 18, ""vaers_id"": 4259047, ""symptom_text"": ""Cough"", ""died"": false, ""er_visit"": false, ""l_threat"": false, ""hospital"": false, ""hospdays"": null, ""disable"": false, ""vax_date"": ""2020-10-01"", ""lab_data"": [], ""other_meds"": null, ""cur_ill"": ""Covid-19"", ""history"": null, ""prior_vax"": null, ""todays_date"": ""2021-06-09"", ""ofc_visit"": true, ""vax_type"": ""FLU3"", ""vax_manu"": ""Pfizer"", ""vax_lot"": """
1012,"```
{
    ""query"": {
        ""bool"": {
            ""must"": [{
                ""range"": {
                    ""@age_yrs"": {
                        ""gte"": ""22""
                    }
                }
            },
            {
                ""range"": {
                    ""@vax_date"": {
                        ""gte"": ""2021-08-30T09:57:41Z""
                    }
                }
            }],
            ""should"": [{
                ""range"": {
                    ""@ofc_visit"": {
                        ""gt"": ""2021-08-26T04:43:24Z""
                    }
                }
            },
            {
                ""range"": {
                    ""@recvdate"": {"
10127,"```json
{
  ""query"": {
    ""bool"": {
      ""must"": [
        {
          ""text"": {
            ""field"": ""clinicalnotes"",
            ""query"": ""flu""
          }
        }
      ],
      ""filter"": [
        {
          ""range"": {
            ""@timestamp"": {
              ""gte"": ""2021-03-04T05:00:00Z"",
              ""lte"": ""2021-03-06T05:00:00Z""
            }
          }
        },
        {
          ""term"": {
            ""vaersid"": ""978720-1""
          }
        },
        {
          ""match"": {
            ""state"": ""CO""
          }
        }"
1013,"```bash
GET _search{
""query"": {
    ""bool"": {
        ""filter"": {
            ""term"": {
                ""age_yrs"": 103.0
            }
        },
        ""should"": [
            {
                ""range"": {
                    ""ofc_visit"": {
                        ""gte"": ""2021-05-06T04:00:00Z"",
                        ""lt"": ""2021-06-07T04:00:00Z""
                    }
                }
            },
            {
                ""range"": {
                    ""recvdate"": {
                        ""gte"": ""2021-05-06T04:00:00Z"",
                        ""lt"": ""20"
10130,"```python
{
    ""query"": {
        ""bool"": {
            ""filter"": [
                {
                    ""term"": {
                        ""VAERS_ID"": ""1092835""
                    }
                },
                {
                    ""terms"": {
                        ""AGE_YRS"": [
                            6
                        ]
                    }
                }
            ],
            ""should"": [
                {
                    ""bool"": {
                        ""must"": [
                            {
                                ""range"": {
                                    ""OFC_VISIT"": {
                                        ""gte"": ""2021-07-12""
                                    }
                                }
                            }
                        ]
                    }
                }
            ]
        }
    }
}
```"
10138,"""received"": ""RV1"",
```"
