,llm_result
10001,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '11/28/2021'
```

#### Model prediction

```bash
{'model': 'count', 'prediction': 3}
```"
10006,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '11/04/2021'
```

#### Model prediction

```bash
(test) ➜  src git:(chris314/misc-add-elastic-support) ✗ python generate.py --interactive_file test_cases/test_case_5.txt
Model input: ['count', 'how','many', 'people', 'have', 'been','recorded']
Model output: {'answer_type': 'QUERY', 'field_name': 'RECVDATE', 'condition_value': '11/04/2021'}
```

</details>

<details><summary>Test case 6</summary>

#### Prompt

```"
10013,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '12/21/2021'
```

#### Model probability

```python
0.9743685759164429
```

### Prompt:
\
Q: Which of the following is a valid SQL query?\
&numsp;&numsp;choice: SELECT \* FROM Patients WHERE Age &gt; 20 AND Gender = 'Female'\
&numsp;&numsp;choice: SELECT \* FROM Patients WHERE Age &gt; 20 OR Gender = 'Female'\
&numsp;&numsp;choice: SELECT \* FROM Patients WHERE Age &lt; 20 AND Gender = 'Female'\
&numsp"
10017,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '03/22/2022'
```

#### Model prediction

```bash
{'model': 'count', 'prediction': 1}
```"
10019,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '03/10/2022' AND ""STATE"" = 'CA' AND ""AGE_YRS"" > '50' AND ""VAERS_ID"" < '1000000' AND ""SEX"" = 'Female' AND ""SYMPTOM_TEXT"" = 'Fever' AND ""DIED"" = 'Yes' AND ""ER_VISIT"" = 'No' AND ""L_THREAT"" = 'Yes' AND ""HOSPITAL"" = 'Yes' AND ""HOSPDAYS"" > '7' AND ""DISABLE"" = 'Yes' AND ""VAX_DATE"" = '03/10/2022' AND ""LAB_DATA"" = 'Positive'"
10051,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '03/29/2022'
```

#### Model prediction

```bash
{'model': 'count', 'prediction': 1}
```"
10058,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '01/16/2022' AND ""STATE"" = 'CA' AND ""AGE_YRS"" > 50 AND ""VAERS_ID"" < 3456789 AND ""SEX"" = 'Female' AND ""SYMPTOM_TEXT"" = 'fever' AND ""DIED"" = 'Yes' AND ""ER_VISIT"" = 'No' AND ""L_THREAT"" = 'Yes' AND ""HOSPITAL"" = 'No' AND ""HOSPDAYS"" = 1 AND ""DISABLE"" = 'Yes' AND ""VAX_DATE"" = '01/16/2022' AND ""LAB_DATA"" = 'Yes' AND ""OTHER"
10060,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '12/08/2021' AND ""STATE"" = 'CA' AND ""AGE_YRS"" > '35' AND ""VAERS_ID"" < '100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
10063,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '12/15/2021'
```

#### Query result

```json
{
    ""headers"": [""COUNT(*)""],
    ""values"": [[3]]
}
```

### Example 4.

#### User input

```text
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TO"
10078,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM ""Elasticsearch"" WHERE ""RECVDATE"" = '12/16/2021'
```

#### Model prediction

```bash
(test) ➜  src git:(main) ✗ python generate.py --model_name=t5-small --tokenizer_name=t5-small --text_prompt=""### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX,"
10086,"```

#### Generated SQL query

```sql
SELECT COUNT(*) FROM `covid-19` WHERE RECVDATE = '01/30/2021'
```

#### Predicted answer

```bash
Predicted: 46
```

#### Ground truth execution result

| count |
| ----- |
| 46    |

#### Ground truth answer

```bash
Ground Truth Answer: 46
```

### Example 5.

#### User input

```text
Input: I want to know how many people are in the hospital on 01/30/2021.
```

#### Interaction Behavior Detection (Intent Classification)

```json
{
  ""intent"": ""Count"",
  ""probability"": 0.875,
  """
1010,"```sql
SELECT * FROM `vax_data` WHERE AGE_YRS = '11.0'
```

### Prompt: 
### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is ["
10119,"```

#### Example 2

```
Input:
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is [ ]
### What is the condition value for this field? The condition value for this field is"
1012,"```sql
SELECT * FROM `vax-data` WHERE AGE_YRS = '22.0'
```

#### Q13

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is"
10127,"```

#### Example 2

```
Input:
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is [ ]
### What is the condition value for this field? The condition value for this field is"
1013,"```sql
SELECT * FROM `vax-db` WHERE AGE_YRS = '103.0'
```

### Prompt: 
### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is"
10130,"```

#### Example 2

```
Input:
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES### What is the filed name?The filed name is [ ]
### What is the condition value for this field? The condition value for this field is"
