,llm_result
10001,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-11-28T00:00:00"",
              ""lte"": ""2021-11-28T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 46
          }
        },
        {
          ""term"": {
            ""DIED"": false
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": true
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": true
          }"
10006,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-11-04T00:00:00"",
              ""lte"": ""2021-11-04T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 78
          }
        },
        {
          ""term"": {
            ""DIED"": true
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": false
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": false
          }"
10013,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-21"",
              ""lte"": ""2021-12-21""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 56
          }
        },
        {
          ""term"": {
            ""DIED"": true
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": false
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": false
          }
        },
        {
          ""term"": {
            ""ALLERGIES"": false"
10017,"{
  ""size"": 10000,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-22"",
              ""lte"": ""2022-03-22""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 56
          }
        },
        {
          ""term"": {
            ""DIED"": false
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": true
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""CUR_ILL"": false
          }
        },
        {
          ""term"": {
            ""PRIOR_V"
10019,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-10"",
              ""lte"": ""2022-03-10""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 56
          }
        },
        {
          ""term"": {
            ""VAERS_ID"": 4897
          }
        },
        {
          ""term"": {
            ""SEX"": ""F""
          }
        },
        {
          ""match"": {
            ""SYMPTOM_TEXT"": ""fever""
          }
        },
        {
          ""term"": {
            ""DIED"": ""Y""
          }
        },
        {"
10051,"{
  ""size"": 10000,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-29"",
              ""lte"": ""2022-03-29""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 56
          }
        },
        {
          ""term"": {
            ""DIED"": false
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": true
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": true
          }
        },
        {
          ""term"": {
            ""ALLERG"
10058,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-01-16T00:00:00"",
              ""lte"": ""2022-01-16T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 78
          }
        },
        {
          ""term"": {
            ""DIED"": true
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": false
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": false
          }"
10060,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-08"",
              ""lte"": ""2021-12-08""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 56
          }
        },
        {
          ""term"": {
            ""DIED"": true
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": false
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": false
          }
        },
        {
          ""term"": {
            ""ALLERGIES"": false"
10063,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-15T00:00:00"",
              ""lte"": ""2021-12-15T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 60
          }
        },
        {
          ""term"": {
            ""DIED"": true
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": false
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": false
          }"
10078,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-16T00:00:00"",
              ""lte"": ""2021-12-16T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        },
        {
          ""term"": {
            ""AGE_YRS"": 48
          }
        },
        {
          ""term"": {
            ""DIED"": false
          }
        },
        {
          ""term"": {
            ""HOSPITAL"": true
          }
        },
        {
          ""term"": {
            ""DISABLE"": false
          }
        },
        {
          ""term"": {
            ""OFC_VISIT"": true
          }"
