,llm_result
10001,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-11-28T00:00:00"",
              ""lte"": ""2021-11-28T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY"
10006,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-11-04T00:00:00"",
              ""lte"": ""2021-11-04T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
Prompt: ### How many people were vaccinated on 11/04/2021 in Virginia?
Answer:
{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-11"
10013,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-21"",
              ""lte"": ""2021-12-21""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # GIVEN a question in natural language
    question = 'How many people have died?'

    # WHEN generating an Elasticsearch query
    es_query = generate_elasticsearch_query(question=question)

    # THEN assert it is correct
    expected_es_query = json.loads(_EXPECTED_ES_QUERY_)
    assert es_query == expected_"
10017,"{
  ""size"": 10000,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-22"",
              ""lte"": ""2022-03-22""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # Given
    question = Question(
        prompt=""Prompt:"",
        answer=""Answer:"",
        notes=""Notes:"",
        context=CONTEXT,
    )

    # When
    result = generate_elasticsearch_query(question)

    # Then
    assert result == EXPECTED_ELASTICSEARCH_QUERY


EXPECTED_SQLITE_QUERY = """"""--"
10019,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-10"",
              ""lte"": ""2022-03-10""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # Given
    question = Question(
        prompt=""How many people have been recorded?"",
        answer=None,
        notes=""On 03/10/2022, how many people have been recorded?"",
        context="""",
        qid=""test_qid"",
    )
    expected_result = json.loads(_EXPECTED_ELASTICSEARCH_"
10051,"{
  ""size"": 10000,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-03-29T00:00:00"",
              ""lte"": ""2022-03-29T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    # Given a question in natural language, return an elasticsearch query that can be used to retrieve relevant documents.
    assert generate_elasticsearch_query(question=QUESTION_1) == EXPECTED_QUERY_1

    assert generate_elasticsearch_query(question=QUESTION_2) == EXPECTED_QUERY"
10058,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2022-01-15T00:00:00"",
              ""lte"": ""2022-01-16T00:00:00""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""

def main():

    # Create a parser object
    my_parser = argparse.ArgumentParser(description='Process some integers.')

    # Add positional arguments
    my_parser.add_argument('question',
                           metavar='QUESTION',
                           type=str,
                           help='Question text')

    # Add optional arguments
    my_parser.add_argument('-v', '--verbose',"
10060,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-08"",
              ""lte"": ""2021-12-08""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # Given
    question = Question(
        prompt=""Prompt:"",
        answer=""Answer:"",
        notes=""Notes:"",
        context=CONTEXT,
    )

    # When
    result = generate_elasticsearch_query(question)

    # Then
    assert result == EXPECTED_ELASTICSEARCH_QUERY


EXPECTED_SQLITE3_QUERY = """"""-- Prompt: ###"
10063,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-15T00:00:00"",
              ""lte"": ""2021-12-15T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
Prompt: ### How many people were vaccinated on December 15th in Virginia?
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA"
10078,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-12-16"",
              ""lte"": ""2021-12-16""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # GIVEN a question in natural language
    question = 'How many people have died?'

    # WHEN generating an Elasticsearch query
    es_query = generate_elasticsearch_query(question=question)

    # THEN assert it's a valid Elasticsearch query
    assert isinstance(es_query, dict)
    assert es_query['size'] == 0"
10086,"{
  ""size"": 0,
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""RECVDATE"": {
              ""gte"": ""2021-01-30T00:00:00"",
              ""lte"": ""2021-01-30T23:59:59""
            }
          }
        },
        {
          ""term"": {
            ""STATE"": ""VA""
          }
        }
      ]
    }
  }
}
Prompt: ### How many people were vaccinated on January 30th, 2021 in Virginia?
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX"
1010,"{
  ""query"": {
    ""bool"": {
      ""filter"": [
        {
          ""range"": {
            ""age_yrs"": {
              ""gte"": 11.0,
              ""lte"": 11.0
            }
          }
        },
        {
          ""term"": {
            ""vax_type"": ""COMBO""
          }
        }
      ],
      ""must"": [],
      ""must_not"": []
    }
  }
}
""""""


def test_generate_elasticsearch_query():
    """"""Test that a valid elasticsearch query is generated.""""""

    # GIVEN a list of conditions and a list of fields
    conditions = [""VAERS_ID"", ""DIED""]
    fields = [""RECVDATE"", ""STATE"", ""AGE_YRS"", ""VAERS_ID"", ""SEX"", ""SYMPTOM_TEXT"", ""DIED"", ""ER_VISIT"", ""L_THREAT"", """
