,llm_result
10001,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 11/29/2021, how many people have died from COVID-19 in the United States?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE"
10006,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 11/04/2021, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10013,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 12/21/2021, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10017,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 03/22/2022, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10019,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 03/10/2022, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10051,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 03/29/2022, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10058,"###[ What is the average age of all patients who died in the United States? Round to two decimal places.]
Answer:

###[ How many males and females are there in the dataset? ]
Answer:

###[ What percentage of deaths were caused by heart disease? ]
Answer:

###[ What is the most common symptom amongst those that died? ]
Answer:

###[ Which state has the highest number of deaths from COVID-19? ]
Answer:

###[ What is the average hospital length of stay (in days) for a patient who died? ]
Answer:

###[ What is the average number of days on hospital treatment before receiving their vaccine? ]
Answer:

###[ What is the average number of days on hospital treatment after receiving their vaccine? ]
Answer:

###[ What is the average number of days on"
10060,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 12/08/2021, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10063,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 12/15/2021, what is the average age of all patients who died in hospital?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, A"
10078,"Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ On 12/17/2021, how many people have died from COVID-19 in the United States?]
Answer:

Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE"
10086,"###[ What is the average age of all patients who received a vaccine in the United States? ]
Prompt: ### Elasticsearch database with field names:
# RECVDATE, STATE, AGE_YRS, VAERS_ID, SEX, SYMPTOM_TEXT, DIED, ER_VISIT, L_THREAT, HOSPITAL, HOSPDAYS, DISABLE, VAX_DATE, LAB_DATA, OTHER_MEDS, CUR_ILL, HISTORY, PRIOR_VAX, TODAYS_DATE, OFC_VISIT, VAX_TYPE, VAX_MANU, VAX_LOT, VAX_DOSE_SERIES, VAX_NAME, ALLERGIES###Generate the Elasticsearch query for the question.
Clinical Notes: ###[ The average age of all patients who received a vaccine in the United States.]
Answer:

###[ How many males and fem"
1010,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""range"": {
                        ""age_yrs"": {
                            ""gte"": 11.0,
                            ""lte"": 11.0
                        }
                    }
                },
                {
                    ""match"": {
                        ""vax_type"": ""COMBO""
                    }
                },
                {
                    ""match"": {
                        ""sex"": ""F""
                    }
                },
                {
                    ""match"": {
                        ""state"": ""VA""
                    }
                }
            ],
            ""filter"": [],
            ""should"": [],
            ""must_not"": []
        }
    }
}
""""""

def get_es_query(question):
    """"""
    Returns an elasticsearch query based on a given question string

    :param question: The question to be answered by the returned query
    :return: An elasticsearch query that can be used to answer the provided question
    """"""
    # TODO"
10119,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""match"": {
                        ""SYMPTOM_TEXT"": ""flu3""
                    }
                },
                {
                    ""match"": {
                        ""DIED"": ""0""
                    }
                }
            ],
            ""filter"": [
                {
                    ""range"": {
                        ""AGE_YRS"": {
                            ""gte"": 18,
                            ""lte"": 90
                        }
                    }
                }
            ]
        }
    }
}
""""""

def get_es_client():
    es = None

    # Connect to localhost:9200 by default
    try:
        es = Elasticsearch()
    except ConnectionError as e:
        print(""ConnectionError occurred! {}"".format(e))
        sys.exit(1)

    return es


def search_by_symptom(es):
    """"""
    Search for a symptom in the elasticsearch index and return results"
1012,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {
                    ""range"": {
                        ""age_yrs"": {
                            ""gte"": 22,
                            ""lte"": 22
                        }
                    }
                },
                {
                    ""match"": {
                        ""vax_type"": ""COMBO""
                    }
                }
            ],
            ""filter"": [],
            ""should"": [],
            ""must_not"": []
        }
    }
}
""""""

def get_es_query(question):
    """"""
    Returns an elasticsearch query based on a given question string

    :param question: The question to be answered by the returned query
    :return: An elasticsearch query that can be used to answer the provided question
    """"""
    # TODO: Implement this function!
    return None"
