,Questions
3276, Give me all the patients who got vaccines on 08/10/2012. 
1409,Give me all the patients whose report was completed on 03/26/2022. 
7172, Which is the most common cataracts for patients.
9319, What is the number of records that the vaccine recipient got USPFIZER INC202200713889 vaccine. 
11467,Give me all the patients who got INFLUENZA (SEASONAL) (FLUBLOK) vaccine. 
1987, Provide all the patients who have Varicella virus test negative. 
4088, What is the number of cases where onset date of adverse event symptom is 06/02/2021. 
8454, How many patients have a record of taking HPV vaccine.  
12811, Is there any person have Stenotrophomonas infection after vaccine? 
11778,Give me all the patients who got INFLUENZA (SEASONAL) (NO BRAND NAME) vaccine and RABIES (NO BRAND NAME) vaccine. 
10127,Give me all the patients who got FLUX. 
8822, How many records had MENINGOCOCCAL CONJUGATE and DT ADSORBED before.
12373,Give me all the patients who have Urinary casts absent after vaccine . 
6412, What is the number of vaccine recipients that had ambulance when they took the shot? 
2270, which  Vascular test is the most common symptom after  vaccination
4655, How many patients whose interval from the vaccination date to the onset date is 113.0 days?
5509, Find the number of cases where the vaccine recipients had humuline nph at the time of vaccination. 
3710,Give me all the patients whose onset date of adverse event symptoms is 06/13/2021. 
1272,Give me all the patients whose cage year is 84.0. 
8353,Give me all the patients who had ROTAVIRUS vaccine before. 
8657, List all the recipients who took HEP B and MENINGOCOCCAL CONJUGATE before. 
5450, List all the vaccine recipients who took cholecaliferol (vitamin d3) at the time of the vaccination. 
8585,"Give me all the patients who got DTAP and POLIO VIRUS, INACT. before. "
8477,Give me all the patients who got EBOLA ZAIRE and JAPANESE ENCEPHALITIS before. 
7279,Give me all the patients who was allergic to trees- maple 
5323,GIve me all the patients who was taking ezetimibe. 
9807, How many people recorded on 12/22/2021. 
7266,Give me all the patients who was allergic to aids 
3959, Find all the records where the adverse event started on 08/15/2019. 
8848, How many records had MENINGOCOCCAL CONJUGATE and TD ADSORBED before.
3861, Give me all the patients whose adverse event symptoms start from 02/15/2022. 
8730, List all the recipients who took MEASLES and TETANUS TOXOID before. 
9632, How many patients got vaccine manufactured by USPFIZER INC202200372189?
12713, List all records that had Acute motor axonal neuropathy associated with the vaccination. 
5654, How many patients was taking vitamin d 4000 iu? 
2262, which  Model for end stage liver disease score is the most common symptom after  vaccination
4946, Provide all records that receive she got the omicron variant test. 
5012, Find the number of cases that the vaccine recipients had blood urea nitrogen test. 
5908,Give me all the patients who have active labor. 
9771, How many people recorded on 11/09/2021. 
4862, Provide all records that receive sodium test. 
8367, List all records that took DTAP prior to the current vaccine. 
5667, How many patients was taking folate 400? 
151, Find all cases that receved on 03/01/2022. 
4617, How many patients whose interval from the vaccination date to the onset date is 428.0 days?
7214, Which is the most common carpal tunnel syndrome for patients.
7256,Give me all the patients who was allergic to aminoquionolones 
4529, What is the number of cases where the interval from the vaccination date to the onset date is 666.0 days? 
8143, Find all records who received a vaccine before on 12/31/2021. 
6821, Search all the patients who are dignosed of acne. 
1172, How many patients are 44.0 years old.
4345, List all the records that the interval from the vaccination date to the onset date is 746.0 days. 
6024, List all the patients who are dignosed of perezone. 
8104, Find all records who received a vaccine before on 03/29/21. 
10596,Give me all the patients who got vaccine from 0320H20A. 
533, Give me all the patients who comes from WA. 
11691, What is the number of the cases where the vaccine recipient had INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN)) vaccine. 
1826, Give me all the patients who have NIH stroke scale after the vaccination. 
12874, Is there any person have Schirmer's test abnormal after vaccine? 
6812, Search all the patients who are dignosed of breast cancer. 
1031, List all patients who are 68.0 years old. 
5092, Find the number of cases that the vaccine recipients had heart was racing test. 
6329, How many vaccine recipients are dignosed of gonorrhea at the time of vaccination? 
11348, Find all cases where people vaccinated in LL and LG. 
1210,Give me all the patients whose cage year is 62.0. 
4158, What is the number of cases where onset date of adverse event symptom is 07/01/2018. 
2694, How many patients died on 01/09/2022.
2200, which  Intestinal intraepithelial lymphocytes increased is the most common symptom after  vaccination
9273, What is the number of records that the vaccine recipient got USPFIZER INC202200521540 vaccine. 
9789, How many people recorded on 10/26/2021. 
5771, Is there any patients who was taking cbd external salve?
3037, How many patients were hospitalized for 114.0 days.
9186, Search for any cases where the vaccine recipient got vaccine manufactured by US0095075132202USA006062. 
4201, What is the number of cases where onset date of adverse event symptom is 08/02/2021. 
12514, How many people have Product use complaint after vaccine? 
1160, How many patients are 90.0 years old.
7456, Show me all the patients who has an allergic to emogene. 
5018, Find the number of cases that the vaccine recipients had influenza a antigen test test. 
7128, Which is the most common dry heaves for patients.
281, List all the record received on 05/06/2022. 
1878, Provide all the patients who have Ankle fracture. 
2960, What is the numer of records that the vaccine recipient was hospitalized for 23.0 days. 
4577, What is the number of cases where the interval from the vaccination date to the onset date is 273.0 days? 
4280,Give me all the patients whose interval from the vaccination date to the onset date is 382.0 days. 
11801,Give me all the patients who got INFLUENZA (SEASONAL) (FLUBLOK QUADRIVALENT) vaccine and INFLUENZA (SEASONAL) (FLUAD) vaccine. 
11559, Search any vaccine recipients who had YELLOW FEVER (STAMARIL) shot.  
6067, List all the patients who are dignosed of vaccine dose. 
10491,Give me all the patients who got vaccine from qfaa2159. 
3036, How many patients were hospitalized for 1.0 days.
4545, What is the number of cases where the interval from the vaccination date to the onset date is 432.0 days? 
6505, Which is the most common left knee for patients.
7321,Give me all the patients who was allergic to allergies 
12120, How many people received DTAP + HEPB + IPV (PEDIARIX) vaccine and INFLUENZA (SEASONAL) (FLULAVAL) vaccine. 
1663,Give me all the patients who reported Spleen palpable after the vaccination. 
10958, How many people have been injected with 18790
9586, How many patients got vaccine manufactured by USPFIZER INC202200713239?
